Season,Team,GP,W,L,WIN%,PTS,PTS_Rank,Division_Rank,Division_Count,Conference_Rank,Conference_Count,Finals_Result
2022-23,Golden State Warriors,82,44,38,0.537,9753,2nd,4th,5,6th,15,
2021-22,Golden State Warriors,82,53,29,0.646,9102,15th,2nd,5,3rd,15,LEAGUE CHAMPION
2020-21,Golden State Warriors,72,39,33,0.542,8187,12th,4th,5,8th,15,
2018-19,Golden State Warriors,82,57,25,0.695,9650,2nd,1st,5,1st,15,FINALS APPEARANCE
2017-18,Golden State Warriors,82,58,24,0.707,9304,1st,1st,5,2nd,15,LEAGUE CHAMPION
2016-17,Golden State Warriors,82,67,15,0.817,9503,1st,1st,5,1st,15,LEAGUE CHAMPION
2015-16,Golden State Warriors,82,73,9,0.89,9421,1st,1st,5,1st,15,FINALS APPEARANCE
2014-15,Golden State Warriors,82,67,15,0.817,9016,1st,1st,5,1st,15,LEAGUE CHAMPION
2013-14,Golden State Warriors,82,51,31,0.622,8549,10th,2nd,5,6th,15,
2012-13,Golden State Warriors,82,47,35,0.573,8296,7th,2nd,5,6th,15,
2006-07,Golden State Warriors,82,42,40,0.512,8737,2nd,2nd,5,8th,15,
1993-94,Golden State Warriors,82,50,32,0.61,8844,2nd,3rd,7,6th,13,
1991-92,Golden State Warriors,82,55,27,0.671,9732,1st,2nd,7,2nd,13,
1990-91,Golden State Warriors,82,44,38,0.537,9564,2nd,4th,7,7th,14,
1988-89,Golden State Warriors,82,43,39,0.524,9558,4th,4th,7,7th,13,
1986-87,Golden State Warriors,82,42,40,0.512,9188,7th,3rd,6,5th,12,
1981-82,Golden State Warriors,82,45,37,0.549,9092,8th,4th,6,7th,12,
1980-81,Golden State Warriors,82,39,43,0.476,9006,9th,4th,6,7th,12,
1978-79,Golden State Warriors,82,38,44,0.463,8621,21st,Last,6,8th,11,
1977-78,Golden State Warriors,82,43,39,0.524,8698,15th,Last,5,7th,11,
1976-77,Golden State Warriors,82,46,36,0.561,9097,4th,3rd,5,4th,11,
1975-76,Golden State Warriors,82,59,23,0.72,9002,1st,1st,5,1st,9,
1974-75,Golden State Warriors,82,48,34,0.585,8898,1st,1st,5,1st,9,LEAGUE CHAMPION
